organism,drug_code,drug_name,drug_class,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,amplitude,NA,0.011182544189646084,6.299241096612319e-4,0.021735164269630937,0.005384088770621592,-2.076961332930449,0.03780753955333625,0.09575895814870417
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,phase,NA,2.8079703916998744,1.8896265306113968,3.7263142527883515,0.4685513960114863,-0.409836807519443,0.6819264947987058,0.8894693410417902
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,beta_age,,0.001996619847110794,0.0016798607629899588,0.0023133789312316296,1.6161474732157867e-4,12.354193414898884,4.88907593008349e-35,2.044716609699589e-34
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,beta_sex,,0.24708440408198168,0.2259549771917307,0.26821383097223267,0.010780517936511694,22.919529983355513,5.704613089512081e-116,2.4448341812194634e-115
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,beta_BL,,0.22557545227675063,0.17207649193365665,0.2790744126198446,0.027295889498524958,8.264081384449497,1.4238243328519723e-16,3.667991436237542e-16
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,beta_RT,,0.35453360544545337,0.3001947715963573,0.4088724392945494,0.0277244042634017,12.78778083298491,2.0455732737060007e-37,1.8267491581463943e-36
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,beta_SST,,0.045294699055644684,-0.0025787468076821293,0.09316814491897149,0.024425676308823255,1.8543887376122699,0.06368635038819614,0.11941190697786777
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,beta_AB,,0.12105168711222243,0.05928632418702721,0.18281705003741766,0.03151351933626972,3.8412620888362965,1.224747975261358e-4,3.681602334436357e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,slope,BWH_2013,5.668999881677663e-4,-0.018553490803557827,0.019687290779893358,0.009755480683596638,0.05811092313687636,0.9536603836293975,0.9887169385623843
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,slope,BWH_2014,-0.009847485216390207,-0.020497296775119987,8.023263423395724e-4,0.0054336771709756594,-1.812305903816147,0.06994178122780485,0.2818394739846358
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,slope,BWH_2015,0.002480529630801714,-0.008728722236024071,0.013689781497627498,0.005719111144512316,0.4337264249850901,0.6644880010570258,0.8569077610286095
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,337936.8512737398,slope,BWH_2016,9.495268386490321e-4,-0.0099049075584042,0.011803961235702263,0.005538078496682403,0.17145420369499062,0.8638669657899571,0.9436619064050937
